run,source,idx,true_vuln,predicted_vuln,predicted_confidence,cwe
0,cwe_1069_Bad_java,0,1,1,9,"['CWE-1069']"
1,cwe_1069_Good_java,1,0,0,8,"['CWE-1069']"
2,cwe_797_Bad_pl,2,1,1,9,"['CWE-797']"
3,cwe_909_Bad_java,3,1,1,9,"['CWE-909']"
4,cwe_909_Bad_pl,4,1,1,9,"['CWE-909']"
5,cwe_909_Good_c,5,0,0,8,"['CWE-909']"
6,cwe_909_Good_1_c,6,0,0,9,"['CWE-909']"
7,cwe_909_Bad_1_c,7,1,1,9,"['CWE-909']"
8,cwe_909_Bad_c,8,1,1,10,"['CWE-909']"
9,cwe_135_Bad_c,9,1,1,9,"['CWE-135']"
10,cwe_307_Bad_php,10,1,1,9,"['CWE-307']"
11,cwe_307_Bad_c,11,1,1,9,"['CWE-307']"
12,cwe_307_Good_c,12,0,1,9,"['CWE-307']"
13,cwe_307_Bad_java,13,1,1,9,"['CWE-307']"
14,cwe_763_Bad_1_c,14,1,1,9,"['CWE-763']"
15,cwe_763_Good_1_c,15,0,1,9,"['CWE-763']"
16,cwe_763_Bad_2_c,16,1,1,9,"['CWE-763']"
17,cwe_763_Good_c,17,0,1,9,"['CWE-763']"
18,cwe_763_Good_cpp,18,0,1,9,"['CWE-763']"
19,cwe_763_Bad_cpp,19,1,1,9,"['CWE-763']"
20,cwe_763_Bad_c,20,1,1,9,"['CWE-763']"
21,cwe_95_Bad_py,21,1,1,9,"['CWE-95']"
22,cwe_95_Bad_pl,22,1,1,9,"['CWE-95']"
23,cwe_95_Good_py,23,0,0,8,"['CWE-95']"
24,cwe_338_Bad_c,24,1,1,9,"['CWE-338']"
25,cwe_338_Bad_java,25,1,1,9,"['CWE-338']"
26,cwe_300_Bad_java,26,1,1,9,"['CWE-300']"
27,cwe_790_Bad_pl,27,1,1,9,"['CWE-790']"
28,cwe_336_Bad_java,28,1,1,9,"['CWE-336']"
29,cwe_336_Bad_php,29,1,1,9,"['CWE-336']"
30,cwe_104_Bad_java,30,1,0,8,"['CWE-104']"
31,cwe_104_Good_java,31,0,0,8,"['CWE-104']"
32,cwe_594_Bad_java,32,1,1,8,"['CWE-594']"
33,cwe_594_Good_java,33,0,0,8,"['CWE-594']"
34,cwe_309_Bad_java,34,1,1,9,"['CWE-309']"
35,cwe_309_Bad_c,35,1,1,9,"['CWE-309']"
36,cwe_799_Good_c,36,0,1,9,"['CWE-799']"
37,cwe_799_Bad_c,37,1,1,9,"['CWE-799']"
38,cwe_1255_Bad_c,38,1,1,9,"['CWE-1255']"
39,cwe_1255_Bad_v,39,1,1,8,"['CWE-1255']"
