run,source,idx,true_vuln,predicted_vuln,predicted_confidence,true_cwe, predicted_cwe
0,primevul,194989,1,0,85,"['CWE-190']","[]"
1,primevul,218785,0,1,85,"['CWE-190']","['CWE-476', 'CWE-131', 'CWE-125', 'CWE-787']"
2,primevul,194996,1,1,85,"['CWE-476']","['CWE-476', 'CWE-20']"
3,primevul,218933,0,1,85,"['CWE-476']","['CWE-476', 'CWE-20']"
4,primevul,195017,1,1,85,"['CWE-476']","['CWE-476', 'CWE-825']"
5,primevul,219912,0,0,95,"['CWE-476']","[]"
6,primevul,195023,1,0,95,"['CWE-190']","[]"
7,primevul,220021,0,0,95,"['CWE-190']","['CWE-120', 'CWE-20', 'CWE-125']"
8,primevul,195029,1,0,95,"['CWE-125']","[]"
9,primevul,220201,0,1,85,"['CWE-125']","['CWE-401', 'CWE-476']"
10,primevul,195038,1,0,95,"['CWE-476']","[]"
11,primevul,220442,0,0,95,"['CWE-476']","[]"
12,primevul,195040,1,1,80,"['CWE-476']","['CWE-401', 'CWE-476']"
13,primevul,220463,0,0,85,"['CWE-476']","[]"
14,primevul,195055,1,1,85,"['CWE-787']","['CWE-129']"
15,primevul,220804,0,0,85,"['CWE-787']","[]"
16,primevul,195073,1,0,85,"['CWE-416']","[]"
17,primevul,221123,0,0,85,"['CWE-416']","[]"
18,primevul,195082,1,1,85,"['CWE-862']","['CWE-119', 'CWE-20']"
19,primevul,221413,0,1,85,"['CWE-862']","['CWE-476', 'CWE-787', 'CWE-20']"
20,primevul,195220,1,1,85,"['CWE-362']","['CWE-20', 'CWE-571', 'CWE-404']"
21,primevul,222666,0,0,85,"['CWE-362']","[]"
22,primevul,195231,1,0,85,"['CWE-476']","[]"
23,primevul,222739,0,1,85,"['CWE-476']","['CWE-20', 'CWE-119', 'CWE-416', 'CWE-']"
24,primevul,195233,1,1,85,"['CWE-787']","['CWE-476', 'CWE-129']"
25,primevul,222906,0,0,90,"['CWE-787']","[]"
26,primevul,195274,1,0,85,"['CWE-476']","[]"
27,primevul,223728,0,0,85,"['CWE-476']","['CWE-119']"
28,primevul,195293,1,0,85,"['CWE-476']","[]"
29,primevul,224154,0,1,85,"['CWE-476']","['CWE-125', 'CWE-416', 'CWE-20', 'CWE-679']"
30,primevul,195295,1,0,80,"['CWE-125']","[]"
31,primevul,224192,0,1,85,"['CWE-125']","['CWE-20', 'CWE-476', 'CWE-131']"
32,primevul,195296,1,1,85,"['CWE-787']","['CWE-476', 'CWE-362', 'CWE-123', 'CWE-674']"
33,primevul,224208,0,1,85,"['CWE-787']","['CWE-20', 'CWE-362', 'CWE-835', 'CWE-400']"
34,primevul,195340,1,0,95,"['CWE-190']","[]"
35,primevul,224862,0,0,90,"['CWE-190']","[]"
36,primevul,195343,1,0,90,"['CWE-125']","[]"
37,primevul,224891,0,0,95,"['CWE-125']","[]"
38,primevul,195385,1,0,85,"['CWE-276']","[]"
39,primevul,224964,0,1,85,"['CWE-276']","['CWE-20', 'CWE-476']"
40,primevul,195391,1,0,95,"['CWE-190']","[]"
41,primevul,225125,0,0,95,"['CWE-190']","[]"
42,primevul,195399,1,1,85,"['CWE-476']","['CWE-476']"
43,primevul,225473,0,0,95,"['CWE-476']","[]"
44,primevul,195402,1,1,85,"['CWE-190']","['CWE-190']"
45,primevul,225547,0,1,80,"['CWE-190']","['CWE-190', 'CWE-571', 'CWE-682']"
46,primevul,195403,1,0,90,"['CWE-190']","[]"
47,primevul,225552,0,1,85,"['CWE-190']","['CWE-820', 'CWE-681']"
48,primevul,195409,1,1,85,"['CWE-476']","['CWE-476']"
49,primevul,226029,0,0,90,"['CWE-476']","[]"
50,primevul,195410,1,0,85,"['CWE-476']","[]"
51,primevul,226433,0,1,85,"['CWE-476']","['CWE-20']"
52,primevul,195471,1,1,85,"['CWE-476']","['CWE-119', 'CWE-401', 'CWE-702', 'CWE-476']"
53,primevul,227022,0,0,85,"['CWE-476']","['CWE-20', 'CWE-401', 'CWE-787']"
54,primevul,195565,1,1,85,"['CWE-119']","['CWE-121', 'CWE-190', 'CWE-680', 'CWE-119']"
55,primevul,228563,0,0,85,"['CWE-119']","['CWE-787', 'CWE-190', 'CWE-476', 'CWE-20', 'CWE-674']"
56,primevul,195626,1,1,90,"['CWE-787']","['CWE-119', 'CWE-20']"
57,primevul,229165,0,1,85,"['CWE-787']","['CWE-119', 'CWE-20']"
58,primevul,195629,1,0,90,"['CWE-476']","[]"
59,primevul,229337,0,1,85,"['CWE-476']","['CWE-476', 'CWE-787']"
60,primevul,195752,1,0,90,"['CWE-476']","[]"
61,primevul,232405,0,0,90,"['CWE-476']","[]"
62,primevul,195801,1,0,85,"['CWE-476']","[]"
63,primevul,233867,0,1,85,"['CWE-476']","['CWE-20', 'CWE-401']"
64,primevul,195954,1,0,75,"['CWE-787']","[]"
65,primevul,235642,0,1,85,"['CWE-787']","['CWE-401', 'CWE-590', 'CWE-129', 'CWE-680']"
66,primevul,195965,1,0,95,"['CWE-787']","[]"
67,primevul,235765,0,0,95,"['CWE-787']","[]"
68,primevul,196276,1,1,85,"['CWE-269']","['CWE-20', 'CWE-117']"
69,primevul,237885,0,0,90,"['CWE-269']","[]"
70,primevul,196578,1,1,85,"['CWE-787']","['CWE-476', 'CWE-789', 'CWE-129']"
71,primevul,240276,0,1,85,"['CWE-787']","['CWE-191', 'CWE-125', 'CWE-787']"
72,primevul,196621,1,0,85,"['CWE-787']","[]"
73,primevul,241311,0,1,85,"['CWE-787']","['CWE-476', 'CWE-20']"
74,primevul,196698,1,0,90,"['CWE-125']","[]"
75,primevul,242899,0,0,85,"['CWE-125']","[]"
76,primevul,196705,1,0,95,"['CWE-20']","[]"
77,primevul,242926,0,0,95,"['CWE-20']","[]"
78,primevul,196829,1,1,85,"['CWE-476']","['CWE-20', 'CWE-476', 'CWE-680', 'CWE-704']"
79,primevul,245921,0,0,85,"['CWE-476']","[]"
80,primevul,196834,1,1,85,"['CWE-125']","['CWE-476', 'CWE-']"
81,primevul,246207,0,0,85,"['CWE-125']","[]"
82,primevul,196860,1,0,80,"['CWE-787']","[]"
83,primevul,246693,0,0,85,"['CWE-787']","['CWE-20', 'CWE-125', 'CWE-770']"
84,primevul,196893,1,0,85,"['CWE-362']","[]"
85,primevul,247550,0,0,85,"['CWE-362']","['CWE-20', 'CWE-119', 'CWE-416', 'CWE-476', 'CWE-835']"
86,primevul,197015,1,0,85,"['CWE-476']","[]"
87,primevul,249989,0,1,85,"['CWE-476']","['CWE-476', 'CWE-682', 'CWE-401', 'CWE-787']"
88,primevul,197128,1,1,85,"['CWE-125']","['CWE-20']"
89,primevul,253515,0,0,85,"['CWE-125']","[]"
90,primevul,197142,1,0,95,"['CWE-476']","[]"
91,primevul,253970,0,0,95,"['CWE-476']","[]"
92,primevul,197223,1,1,90,"['CWE-787']","['CWE-119', 'CWE-22', 'CWE-772']"
93,primevul,255574,0,0,85,"['CWE-787']","['CWE-22', 'CWE-61']"
94,primevul,197239,1,0,None,"['CWE-20']","['CWE-476']"
95,primevul,255787,0,0,85,"['CWE-20']","[]"
96,primevul,197262,1,0,85,"['CWE-125']","[]"
97,primevul,256138,0,0,95,"['CWE-125']","[]"
98,primevul,197466,1,0,85,"['CWE-476']","[]"
99,primevul,259081,0,1,80,"['CWE-476']","['CWE-20', 'CWE-119', 'CWE-200', 'CWE-476', 'CWE-674']"
100,primevul,197499,1,0,85,"['CWE-416']","[]"
101,primevul,259515,0,1,85,"['CWE-416']","['CWE-119', 'CWE-476', 'CWE-416', 'CWE-667', 'CWE-20']"
102,primevul,197511,1,1,85,"['CWE-787']","['CWE-401', 'CWE-759', 'CWE-476', 'CWE-190']"
103,primevul,259619,0,1,85,"['CWE-787']","['CWE-690', 'CWE-770', 'CWE-416']"
104,primevul,197517,1,1,85,"['CWE-787']","['CWE-690', 'CWE-20', 'CWE-821', 'CWE-401', 'CWE-532']"
105,primevul,230147,0,1,85,"['CWE-787']","['CWE-788', 'CWE-401', 'CWE-20']"
106,primevul,197565,1,1,85,"['CWE-787']","['CWE-362', 'CWE-367', 'CWE-832', 'CWE-395']"
