run,source,idx,true_vuln,predicted_vuln,predicted_confidence,cwe
0,diversevul_qemu_b2eb849d4b1fdb6f35d5c46958c7f703cf64cfef,0,1,1,8,["CWE-787"]
1,diversevul_qemu_b2eb849d4b1fdb6f35d5c46958c7f703cf64cfef,1,1,1,9,["CWE-787"]
2,diversevul_qemu_b2eb849d4b1fdb6f35d5c46958c7f703cf64cfef,2,1,1,8,["CWE-787"]
3,diversevul_qemu_b2eb849d4b1fdb6f35d5c46958c7f703cf64cfef,3,1,1,9,["CWE-787"]
4,diversevul_qemu_b2eb849d4b1fdb6f35d5c46958c7f703cf64cfef,4,1,1,8,["CWE-787"]
5,diversevul_qemu_b2eb849d4b1fdb6f35d5c46958c7f703cf64cfef,5,1,0,8,["CWE-787"]
6,diversevul_qemu_b2eb849d4b1fdb6f35d5c46958c7f703cf64cfef,6,1,0,8,["CWE-787"]
7,diversevul_qemu_b2eb849d4b1fdb6f35d5c46958c7f703cf64cfef,7,1,1,8,["CWE-787"]
8,diversevul_qemu_b2eb849d4b1fdb6f35d5c46958c7f703cf64cfef,8,1,0,8,["CWE-787"]
9,diversevul_qemu_b2eb849d4b1fdb6f35d5c46958c7f703cf64cfef,9,1,1,9,["CWE-787"]
10,diversevul_qemu_65d35a09979e63541afc5bfc595b9f1b1b4ae069,10,1,1,8,["CWE-787"]
11,diversevul_linux-2.6_29eb51101c02df517ca64ec472d7501127ad1da8,11,1,1,8,["CWE-20"]
12,diversevul_linux-2.6_29eb51101c02df517ca64ec472d7501127ad1da8,12,1,0,8,["CWE-20"]
13,diversevul_linux-2.6_0f13864e5b24d9cbe18d125d41bfa4b726a82e40,14,1,1,9,["CWE-119"]
14,diversevul_linux-2.6_8811930dc74a503415b35c4a79d14fb0b408a361,17,1,1,8,["CWE-94"]
15,diversevul_linux-2.6_8811930dc74a503415b35c4a79d14fb0b408a361,18,1,1,8,["CWE-94"]
16,diversevul_linux-2.6_712a30e63c8066ed84385b12edbfb804f49cbc44,19,1,0,9,["CWE-94"]
17,diversevul_linux-2.6_9926e4c74300c4b31dee007298c6475d33369df0,20,1,0,9,["CWE-20"]
18,diversevul_linux-2.6_214b7049a7929f03bbd2786aaef04b8b79db34e2,21,1,0,9,["CWE-362"]
19,diversevul_poppler_1a531dcfee1c6fc79a414c38cbe7327fbf9a59d8,22,1,1,9,["CWE-20"]
20,diversevul_linux-2.6_ddb2c43594f22843e9f3153da151deaba1a834c5,23,1,1,8,["CWE-119"]
21,diversevul_linux-2.6_ddb2c43594f22843e9f3153da151deaba1a834c5,24,1,0,8,["CWE-119"]
22,diversevul_linux-2.6_ddb2c43594f22843e9f3153da151deaba1a834c5,25,1,0,8,["CWE-119"]
23,diversevul_linux-2.6_ddb2c43594f22843e9f3153da151deaba1a834c5,26,1,1,8,["CWE-119"]
24,diversevul_linux-2.6_ddb2c43594f22843e9f3153da151deaba1a834c5,27,1,0,8,["CWE-119"]
25,diversevul_linux-2.6_ddb2c43594f22843e9f3153da151deaba1a834c5,28,1,1,8,["CWE-119"]
26,diversevul_linux-2.6_89f5b7da2a6bad2e84670422ab8192382a5aeb9f,29,1,0,8,["CWE-20"]
27,diversevul_linux-2.6_89f5b7da2a6bad2e84670422ab8192382a5aeb9f,30,1,0,8,["CWE-20"]
28,diversevul_linux-2.6_89f5b7da2a6bad2e84670422ab8192382a5aeb9f,31,1,0,8,["CWE-20"]
29,diversevul_linux-2.6_89f5b7da2a6bad2e84670422ab8192382a5aeb9f,32,1,0,9,["CWE-20"]
30,diversevul_linux-2.6_89f5b7da2a6bad2e84670422ab8192382a5aeb9f,33,1,1,8,["CWE-20"]
31,diversevul_linux-2.6_672ca28e300c17bf8d792a2a7a8631193e580c74,34,1,0,8,["CWE-20"]
32,diversevul_linux-2.6_ee6f958291e2a768fd727e7a67badfff0b67711a,35,1,0,9,["CWE-269"]
33,diversevul_linux-2.6_5ac37f87ff18843aabab84cf75b2f8504c2d81fe,36,1,0,8,["CWE-119"]
34,diversevul_git_fd55a19eb1d49ae54008d932a65f79cd6fda45c9,37,1,0,9,["CWE-119"]
35,diversevul_git_fd55a19eb1d49ae54008d932a65f79cd6fda45c9,38,1,1,9,["CWE-119"]
36,diversevul_git_fd55a19eb1d49ae54008d932a65f79cd6fda45c9,39,1,1,9,["CWE-119"]
37,diversevul_git_fd55a19eb1d49ae54008d932a65f79cd6fda45c9,40,1,1,8,["CWE-119"]
38,diversevul_git_fd55a19eb1d49ae54008d932a65f79cd6fda45c9,41,1,1,9,["CWE-119"]
39,diversevul_git_fd55a19eb1d49ae54008d932a65f79cd6fda45c9,42,1,1,9,["CWE-119"]
40,diversevul_git_fd55a19eb1d49ae54008d932a65f79cd6fda45c9,43,1,1,9,["CWE-119"]
41,diversevul_git_fd55a19eb1d49ae54008d932a65f79cd6fda45c9,44,1,0,9,["CWE-119"]
42,diversevul_git_fd55a19eb1d49ae54008d932a65f79cd6fda45c9,45,1,1,9,["CWE-119"]
43,diversevul_linux-2.6_91b80969ba466ba4b915a4a1d03add8c297add3f,46,1,1,9,["CWE-119"]
44,diversevul_jasper_d678ccd27b8a062e3bfd4c80d8ce2676a8166a27,47,1,1,9,["CWE-119"]
45,diversevul_dbus_7b10b46c5c8658449783ce45f1273dd35c353bce,48,1,1,9,["CWE-20"]
46,diversevul_linux-2.6_ba0166708ef4da7eeb61dd92bbba4d5a749d6561,50,1,0,9,["CWE-20"]
47,diversevul_linux-2.6_ba0166708ef4da7eeb61dd92bbba4d5a749d6561,51,1,0,9,["CWE-20"]
48,diversevul_linux-2.6_ba0166708ef4da7eeb61dd92bbba4d5a749d6561,52,1,0,8,["CWE-20"]
49,diversevul_linux-2.6_ba0166708ef4da7eeb61dd92bbba4d5a749d6561,53,1,1,9,["CWE-20"]
50,diversevul_linux-2.6_add52379dde2e5300e2d574b172e62c6cf43b3d3,54,1,1,8,["CWE-287"]
51,diversevul_linux-2.6_add52379dde2e5300e2d574b172e62c6cf43b3d3,55,1,1,9,["CWE-287"]
52,diversevul_linux-2.6_efc7ffcb4237f8cb9938909041c4ed38f6e1bf40,56,1,0,8,["CWE-119"]
53,diversevul_linux-2.6_649f1ee6c705aab644035a7998d7b574193a598a,57,1,1,8,["CWE-20"]
54,diversevul_linux-2.6_8f7b0ba1c853919b85b54774775f567f30006107,59,1,0,9,["CWE-362"]
55,diversevul_linux-2.6_8f7b0ba1c853919b85b54774775f567f30006107,60,1,0,9,["CWE-362"]
56,diversevul_linux-2.6_8f7b0ba1c853919b85b54774775f567f30006107,61,1,0,9,["CWE-362"]
57,diversevul_linux-2.6_8f7b0ba1c853919b85b54774775f567f30006107,62,1,0,9,["CWE-362"]
58,diversevul_linux-2.6_8f7b0ba1c853919b85b54774775f567f30006107,63,1,0,8,["CWE-362"]
59,diversevul_linux-2.6_8f7b0ba1c853919b85b54774775f567f30006107,64,1,0,10,["CWE-362"]
60,diversevul_linux-2.6_8f7b0ba1c853919b85b54774775f567f30006107,65,1,0,9,["CWE-362"]
61,diversevul_linux-2.6_8f7b0ba1c853919b85b54774775f567f30006107,66,1,1,9,["CWE-362"]
62,diversevul_linux-2.6_8f7b0ba1c853919b85b54774775f567f30006107,67,1,0,9,["CWE-362"]
63,diversevul_linux-2.6_8f7b0ba1c853919b85b54774775f567f30006107,68,1,1,9,["CWE-362"]
64,diversevul_linux-2.6_8f7b0ba1c853919b85b54774775f567f30006107,69,1,0,7,["CWE-362"]
65,diversevul_linux-2.6_8f7b0ba1c853919b85b54774775f567f30006107,70,1,1,8,["CWE-362"]
