run,source,idx,true_vuln,predicted_vuln,predicted_confidence,true_cwe, predicted_cwe
0,primevul,194989,1,1,100,["CWE-190"],["CWE-787"]
1,primevul,218785,0,0,100,["CWE-190"],[]
2,primevul,194996,1,1,90,["CWE-476"],["CWE-476"]
3,primevul,218933,0,0,100,["CWE-476"],[]
4,primevul,195017,1,1,100,["CWE-476"],["CWE-476"]
5,primevul,219912,0,0,100,["CWE-476"],[]
6,primevul,195023,1,0,100,["CWE-190"],[]
7,primevul,220021,0,1,100,["CWE-190"],["CWE-697"]
8,primevul,195029,1,1,70,["CWE-125"],["CWE-476"]
9,primevul,220201,0,0,100,["CWE-125"],[]
10,primevul,195038,1,1,88,["CWE-476"],["CWE-190"]
11,primevul,220442,0,1,100,["CWE-476"],["CWE-476"]
12,primevul,195040,1,1,85,["CWE-476"],["CWE-77"]
13,primevul,220463,0,0,100,["CWE-476"],[]
14,primevul,195055,1,1,100,["CWE-787"],["CWE-369"]
15,primevul,220804,0,1,90,["CWE-787"],["CWE-770"]
16,primevul,195073,1,0,100,["CWE-416"],[]
17,primevul,221123,0,0,100,["CWE-416"],[]
18,primevul,195082,1,1,90,["CWE-862"],["CWE-401"]
19,primevul,221413,0,0,100,["CWE-862"],[]
20,primevul,195220,1,0,100,["CWE-362"],[]
21,primevul,222666,0,0,100,["CWE-362"],[]
22,primevul,195231,1,0,100,["CWE-476"],[]
23,primevul,222739,0,0,100,["CWE-476"],[]
24,primevul,195233,1,0,100,["CWE-787"],[]
25,primevul,222906,0,1,100,["CWE-787"],["CWE-190"]
26,primevul,195274,1,0,100,["CWE-476"],[]
27,primevul,223728,0,0,100,["CWE-476"],[]
28,primevul,195293,1,0,100,["CWE-476"],[]
29,primevul,224154,0,0,100,["CWE-476"],[]
30,primevul,195295,1,1,99,["CWE-125"],["CWE-617"]
31,primevul,224192,0,1,100,["CWE-125"],["CWE-88"]
32,primevul,195296,1,0,100,["CWE-787"],[]
33,primevul,224208,0,1,85,["CWE-787"],["CWE-189"]
34,primevul,195340,1,0,100,["CWE-190"],[]
35,primevul,224862,0,0,100,["CWE-190"],[]
36,primevul,195343,1,1,100,["CWE-125"],["CWE-369"]
37,primevul,224891,0,0,100,["CWE-125"],[]
38,primevul,195385,1,1,100,["CWE-276"],["CWE-863"]
39,primevul,224964,0,1,100,["CWE-276"],["CWE-95"]
40,primevul,195391,1,0,100,["CWE-190"],[]
41,primevul,225125,0,0,90,["CWE-190"],["CWE-787"]
42,primevul,195399,1,0,100,["CWE-476"],[]
43,primevul,225473,0,0,100,["CWE-476"],[]
44,primevul,195402,1,1,100,["CWE-190"],["CWE-190"]
45,primevul,225547,0,1,85,["CWE-190"],["CWE-190"]
46,primevul,195403,1,1,100,["CWE-190"],["CWE-189"]
47,primevul,225552,0,0,100,["CWE-190"],[]
48,primevul,195409,1,1,100,["CWE-476"],["CWE-476"]
49,primevul,226029,0,1,100,["CWE-476"],["CWE-476"]
50,primevul,195410,1,1,90,["CWE-476"],["CWE-125"]
51,primevul,226433,0,0,100,["CWE-476"],[]
52,primevul,195471,1,0,100,["CWE-476"],[]
53,primevul,227022,0,0,100,["CWE-476"],[]
54,primevul,195565,1,1,90,["CWE-119"],["CWE-190"]
55,primevul,228563,0,0,100,["CWE-119"],[]
56,primevul,195626,1,1,80,["CWE-787"],["CWE-119"]
57,primevul,229165,0,1,90,["CWE-787"],["CWE-399"]
58,primevul,195629,1,0,100,["CWE-476"],[]
59,primevul,229337,0,1,90,["CWE-476"],["CWE-703"]
60,primevul,195752,1,0,100,["CWE-476"],[]
61,primevul,232405,0,1,95,["CWE-476"],["CWE-787"]
62,primevul,195801,1,0,100,["CWE-476"],[]
63,primevul,233867,0,1,100,["CWE-476"],["CWE-703"]
64,primevul,195954,1,1,75,["CWE-787"],["CWE-125"]
65,primevul,235642,0,0,100,["CWE-787"],[]
66,primevul,195965,1,0,100,["CWE-787"],[]
67,primevul,235765,0,0,100,["CWE-787"],[]
68,primevul,196276,1,1,100,["CWE-269"],["CWE-787"]
69,primevul,237885,0,1,95,["CWE-269"],["CWE-787"]
70,primevul,196578,1,1,70,["CWE-787"],["CWE-787"]
71,primevul,240276,0,0,100,["CWE-787"],[]
72,primevul,196621,1,1,100,["CWE-787"],["CWE-476"]
73,primevul,241311,0,0,100,["CWE-787"],[]
74,primevul,196698,1,0,100,["CWE-125"],[]
75,primevul,242899,0,0,100,["CWE-125"],[]
76,primevul,196705,1,0,100,["CWE-20"],[]
77,primevul,242926,0,0,100,["CWE-20"],[]
78,primevul,196829,1,0,100,["CWE-476"],[]
79,primevul,245921,0,1,100,["CWE-476"],["CWE-200"]
80,primevul,196834,1,0,100,["CWE-125"],[]
81,primevul,246207,0,1,90,["CWE-125"],["CWE-369"]
82,primevul,196860,1,0,100,["CWE-787"],[]
83,primevul,246693,0,0,100,["CWE-787"],[]
84,primevul,196893,1,1,80,["CWE-362"],["CWE-287"]
85,primevul,247550,0,1,100,["CWE-362"],["CWE-347"]
86,primevul,197015,1,1,95,["CWE-476"],["CWE-476"]
87,primevul,249989,0,1,85,["CWE-476"],["CWE-476"]
88,primevul,197128,1,0,100,["CWE-125"],[]
89,primevul,253515,0,1,80,["CWE-125"],["CWE-917"]
90,primevul,197142,1,0,100,["CWE-476"],[]
91,primevul,253970,0,0,100,["CWE-476"],[]
92,primevul,197223,1,0,100,["CWE-787"],[]
93,primevul,255574,0,1,100,["CWE-787"],["CWE-476"]
94,primevul,197239,1,1,100,["CWE-20"],["CWE-369"]
95,primevul,255787,0,1,100,["CWE-20"],["CWE-190"]
96,primevul,197262,1,1,100,["CWE-125"],["CWE-787"]
97,primevul,256138,0,1,100,["CWE-125"],["CWE-369"]
98,primevul,197466,1,0,100,["CWE-476"],[]
99,primevul,259081,0,0,100,["CWE-476"],[]
100,primevul,197499,1,1,80,["CWE-416"],["CWE-476"]
101,primevul,259515,0,1,85,["CWE-416"],["CWE-703"]
102,primevul,197511,1,1,90,["CWE-787"],["CWE-119"]
103,primevul,259619,0,0,100,["CWE-787"],[]
104,primevul,197517,1,1,100,["CWE-787"],["CWE-20"]
105,primevul,230147,0,1,100,["CWE-787"],["CWE-287"]
106,primevul,197565,1,1,75,["CWE-787"],["CWE-399"]
107,primevul,261220,0,1,90,["CWE-787"],["CWE-835"]
108,primevul,197593,1,1,100,["CWE-416"],["CWE-190"]
109,primevul,261769,0,1,95,["CWE-416"],["CWE-189"]
110,primevul,197719,1,0,100,["CWE-125"],[]
111,primevul,262803,0,0,100,["CWE-125"],[]
112,primevul,197760,1,0,100,["CWE-125"],[]
113,primevul,263521,0,0,100,["CWE-125"],[]
114,primevul,197824,1,0,100,["CWE-416"],[]
115,primevul,264657,0,1,100,["CWE-416"],["CWE-476"]
116,primevul,197973,1,0,100,["CWE-276"],[]
117,primevul,267357,0,1,95,["CWE-276"],["CWE-276"]
118,primevul,198116,1,1,80,["CWE-125"],["CWE-190"]
119,primevul,269323,0,0,100,["CWE-125"],[]
120,primevul,198117,1,0,100,["CWE-476"],[]
121,primevul,269330,0,0,100,["CWE-476"],[]
122,primevul,198350,1,1,80,["CWE-416"],["CWE-416"]
123,primevul,273091,0,0,100,["CWE-416"],[]
124,primevul,198399,1,0,100,["CWE-787"],[]
125,primevul,273880,0,0,100,["CWE-787"],[]
126,primevul,198449,1,0,100,["CWE-787"],[]
127,primevul,274814,0,0,100,["CWE-787"],[]
128,primevul,198476,1,1,100,["CWE-416"],["CWE-704"]
129,primevul,275525,0,0,100,["CWE-416"],[]
130,primevul,198523,1,0,100,["CWE-416"],[]
131,primevul,276447,0,0,100,["CWE-416"],[]
132,primevul,198545,1,0,100,["CWE-787"],[]
133,primevul,276921,0,1,100,["CWE-787"],["CWE-119"]
134,primevul,198566,1,1,75,["CWE-787"],["CWE-119"]
135,primevul,277489,0,0,100,["CWE-787"],[]
136,primevul,198662,1,0,100,["CWE-787"],[]
137,primevul,279948,0,1,100,["CWE-787"],["CWE-20"]
138,primevul,198692,1,1,90,["CWE-125"],["CWE-119"]
139,primevul,281119,0,1,100,["CWE-125"],["CWE-20"]
140,primevul,198743,1,0,100,["CWE-125"],[]
