run,source,idx,true_vuln,predicted_vuln,predicted_confidence,cwe
0,devign_FFmpeg_973b1a6b9070e2bf17d17568cbaf4043ce931f51,0,0,1,8,"['Unknown CWE']"
1,devign_FFmpeg_5d5de3eba4c7890c2e8077f5b4ae569671d11cf8,1,0,0,8,"['Unknown CWE']"
2,devign_FFmpeg_32bf6550cb9cc9f487a6722fe2bfc272a93c1065,2,0,1,8,"['Unknown CWE']"
3,devign_FFmpeg_57d77b3963ce1023eaf5ada8cba58b9379405cc8,3,0,1,9,"['Unknown CWE']"
4,devign_FFmpeg_57d77b3963ce1023eaf5ada8cba58b9379405cc8,4,0,1,9,"['Unknown CWE']"
5,devign_FFmpeg_aba232cfa9b193604ed98f3fa505378d006b1b3b,5,1,1,9,"['Unknown CWE']"
6,devign_FFmpeg_afb4632cc30e83287338690c785ebac180436a59,6,1,1,9,"['Unknown CWE']"
7,devign_FFmpeg_da032427786d9db4ab21014998cb1245083d6c85,7,1,1,9,"['Unknown CWE']"
8,devign_qemu_aa1530dec499f7525d2ccaa0e3a876dc8089ed1e,8,1,1,9,"['Unknown CWE']"
9,devign_qemu_b4ba67d9a702507793c2724e56f98e9b0f7be02b,9,1,1,9,"['Unknown CWE']"
10,devign_qemu_21ce148c7ec71ee32834061355a5ecfd1a11f90f,10,1,0,9,"['Unknown CWE']"
11,devign_FFmpeg_636ced8e1dc8248a1353b416240b93d70ad03edb,11,1,0,9,"['Unknown CWE']"
12,devign_qemu_c0c24b95542bc1a4dc3fc6ea71475ae04fa69189,12,1,1,8,"['Unknown CWE']"
13,devign_qemu_a1d4e38a8b01a6699355c31867d524f8d4cd480e,13,1,1,8,"['Unknown CWE']"
14,devign_qemu_6687b79d636cd60ed9adb1177d0d946b58fa7717,14,1,1,8,"['Unknown CWE']"
15,devign_qemu_089da572b956ef0f8f5b8d5917358e07892a77c2,15,1,1,8,"['Unknown CWE']"
16,devign_FFmpeg_2a6eb06254df79e96b3d791b6b89b2534ced3119,17,1,0,8,"['Unknown CWE']"
17,devign_qemu_3e305e4a4752f70c0b5c3cf5b43ec957881714f7,18,1,0,9,"['Unknown CWE']"
18,devign_FFmpeg_2df0c32ea12ddfa72ba88309812bfb13b674130f,19,0,0,8,"['Unknown CWE']"
19,devign_qemu_0696ae2c9236a3589f5eaf5b00c12868b6f30a17,20,1,1,8,"['Unknown CWE']"
20,devign_FFmpeg_323e6fead07c75f418e4b60704a4f437bb3483b2,21,1,0,9,"['Unknown CWE']"
21,devign_qemu_98f343395e937fa1db3a28dfb4f303f97cfddd6c,22,1,1,8,"['Unknown CWE']"
22,devign_qemu_e95205e1f9cd2c4262b7a7b1c992a94512c86d0e,23,1,1,8,"['Unknown CWE']"
23,devign_qemu_c599d4d6d6e9bfdb64e54c33a22cb26e3496b96d,24,1,1,9,"['Unknown CWE']"
24,devign_qemu_c84f0f25db2eaab101665ddb60c1ddf1decce76a,25,1,1,9,"['Unknown CWE']"
25,devign_FFmpeg_16c831851384ab59e73579fdd9913fbff3c0284a,26,1,1,9,"['Unknown CWE']"
26,devign_FFmpeg_b4dcd351ec50caaa484bc5c66b4a8d5557a0f1ea,27,0,0,7,"['Unknown CWE']"
27,devign_FFmpeg_fe0f4e56577a2dbd373bb50b0ae2d49e69d822fc,28,0,1,9,"['Unknown CWE']"
28,devign_FFmpeg_f61bece684d9685b07895508e6c1c733b5564ccf,29,0,0,10,"['Unknown CWE']"
29,devign_FFmpeg_38477e1981a7729b02d9a2f45142c53dc78625fe,30,0,0,9,"['Unknown CWE']"
30,devign_FFmpeg_3b199d29cd597a3518136d78860e172060b9e83d,31,0,0,9,"['Unknown CWE']"
31,devign_FFmpeg_74b1bf632f125a795e66e5fd0a060b9c7c55b7a3,32,1,1,9,"['Unknown CWE']"
32,devign_qemu_cd0c6f473532bfaf20a095bc90a18e45162981b5,33,1,0,8,"['Unknown CWE']"
33,devign_qemu_e3cffe6fad29e07d401eabb913a6d88501d5c143,34,1,0,9,"['Unknown CWE']"
34,devign_FFmpeg_5ff998a233d759d0de83ea6f95c383d03d25d88e,35,1,0,8,"['Unknown CWE']"
35,devign_FFmpeg_f6d49a0dc84aade2adf150c25afb66cbda1d5528,36,1,0,9,"['Unknown CWE']"
36,devign_FFmpeg_839d6bc192f7ef94343872ff039799501af38855,37,1,1,8,"['Unknown CWE']"
37,devign_qemu_dac23a6c05e543590508b48b8ed31d89b0c99c61,38,1,1,8,"['Unknown CWE']"
38,devign_FFmpeg_87b017a298c12b9a2451276649f3932358b943fc,39,1,1,9,"['Unknown CWE']"
39,devign_FFmpeg_d150a147dac67faeaf6b1f25a523ae330168ee1e,40,0,1,9,"['Unknown CWE']"
40,devign_qemu_456d97d364e34adc4e68cbd51c2ad6ecd548492d,41,1,0,8,"['Unknown CWE']"
41,devign_FFmpeg_5e706a2afb09009bad49c4b12aaa997acf4491b1,42,1,1,8,"['Unknown CWE']"
42,devign_qemu_4be746345f13e99e468c60acbd3a355e8183e3ce,44,0,0,9,"['Unknown CWE']"
43,devign_qemu_a8170e5e97ad17ca169c64ba87ae2f53850dab4c,45,0,1,8,"['Unknown CWE']"
44,devign_qemu_d9b789745b88df367674e45c55df29e9c7de8d8a,46,0,0,9,"['Unknown CWE']"
45,devign_qemu_b3db211f3c80bb996a704d665fe275619f728bd4,47,0,1,9,"['Unknown CWE']"
46,devign_qemu_4774718e5c194026ba5ee7a28d9be49be3080e42,48,0,0,8,"['Unknown CWE']"
47,devign_FFmpeg_9f61abc8111c7c43f49ca012e957a108b9cc7610,49,0,1,8,"['Unknown CWE']"
48,devign_qemu_08b277ac46da8b02e50cec455eca7cb2d12ffcf0,50,0,1,9,"['Unknown CWE']"
49,devign_qemu_c39ce112b60ffafbaf700853e32bea74cbb2c148,51,0,1,9,"['Unknown CWE']"
50,devign_qemu_b097cc52fc9126bd1a71dae8302b8536d28104dd,52,0,1,8,"['Unknown CWE']"
51,devign_qemu_86a6a9bf551ffa183880480b37c5836d3916687a,53,0,1,9,"['Unknown CWE']"
52,devign_qemu_38931fa8cfb074a08ce65fd1982bd4a5bef9d6fb,54,0,1,9,"['Unknown CWE']"
53,devign_qemu_8b34a9dbc3f2c0afe3450cb20b94cc30f450e77b,55,0,0,9,"['Unknown CWE']"
54,devign_qemu_641bb63cd6b003ab0ca2e312a014449037d71647,56,0,1,9,"['Unknown CWE']"
