run,source,idx,true_vuln,predicted_vuln,predicted_confidence,cwe
0,primevul_savannah_190cef6eed37d0e73a73c1e205eb31d45ab60a3c,1,1,1,9,["CWE-119"]
1,primevul_savannah_190cef6eed37d0e73a73c1e205eb31d45ab60a3c,157857,0,1,9,["CWE-119"]
2,primevul_savannah_e82ef4545e9e98cbcb032f55d7c750b81e3a0450,2,1,1,9,["CWE-119"]
3,primevul_savannah_e82ef4545e9e98cbcb032f55d7c750b81e3a0450,157858,0,1,9,["CWE-119"]
4,primevul_ghostscript_f597300439e62f5e921f0d7b1e880b5c1a1f1607,6,1,1,8,["CWE-416"]
5,primevul_ghostscript_f597300439e62f5e921f0d7b1e880b5c1a1f1607,157862,0,1,9,["CWE-416"]
6,primevul_ghostscript_71ceebcf56e682504da22c4035b39a2d451e8ffd,8,1,1,9,["CWE-416"]
7,primevul_ghostscript_71ceebcf56e682504da22c4035b39a2d451e8ffd,157863,0,1,9,["CWE-416"]
8,primevul_ghostscript_b2e7d38e845c7d4922d05e6e41f3a2dc1bc1b14a,9,1,0,9,["CWE-20"]
9,primevul_ghostscript_b2e7d38e845c7d4922d05e6e41f3a2dc1bc1b14a,157864,0,1,8,["CWE-20"]
