run,source,idx,true_vuln,predicted_vuln,predicted_confidence,cwe
0,cwe_119_Bad_c,0,1,1,9,'CWE-119'
1,cwe_119_Bad_1_c,1,1,1,9,'CWE-119'
2,cwe_119_Bad_2_c,2,1,1,9,'CWE-119'
3,cwe_119_Bad_3_c,3,1,1,9,'CWE-119'
4,cwe_119_Good_c,4,0,1,9,'CWE-119'
5,cwe_125_Bad_c,5,1,1,9,'CWE-125'
6,cwe_125_Good_c,6,0,1,9,'CWE-125'
7,cwe_190_Bad_c,7,1,1,9,'CWE-190'
8,cwe_190_Bad_1_c,8,1,1,9,'CWE-190'
9,cwe_190_Bad_2_c,9,1,1,9,'CWE-190'
10,cwe_190_Bad_3_c,10,1,1,8,'CWE-190'
11,cwe_190_Good_c,11,0,1,9,'CWE-190'
12,cwe_20_Bad_java,12,1,1,9,'CWE-20'
13,cwe_20_Bad_c,13,1,1,9,'CWE-20'
14,cwe_20_Bad_php,14,1,1,8,'CWE-20'
15,cwe_20_Bad_1_java,15,1,1,8,'CWE-20'
16,cwe_20_Bad_2_java,16,1,1,8,'CWE-20'
17,cwe_22_Bad_pl,17,1,1,9,'CWE-22'
18,cwe_22_Bad_java,18,1,1,9,'CWE-22'
19,cwe_22_Bad_1_pl,19,1,1,9,'CWE-22'
20,cwe_22_Bad_1_java,20,1,1,9,'CWE-22'
21,cwe_22_Good_html,21,0,1,9,'CWE-22'
22,cwe_22_Bad_2_java,22,1,1,9,'CWE-22'
23,cwe_22_Bad_py,23,1,1,9,'CWE-22'
24,cwe_22_Good_py,24,0,1,9,'CWE-22'
25,cwe_269_Bad_py,25,1,1,9,'CWE-269'
26,cwe_269_Bad_c,26,1,1,9,'CWE-269'
27,cwe_269_Bad_java,27,1,1,9,'CWE-269'
28,cwe_269_Bad_1_java,28,1,1,9,'CWE-269'
29,cwe_269_Bad_2_java,29,1,1,9,'CWE-269'
30,cwe_287_Bad_pl,30,1,1,9,'CWE-287'
31,cwe_306_Bad_java,31,1,1,9,'CWE-306'
32,cwe_306_Good_java,32,0,1,9,'CWE-306'
33,cwe_352_Bad_html,33,1,1,9,'CWE-352'
34,cwe_352_Bad_php,34,1,1,9,'CWE-352'
35,cwe_352_Attack_html,35,1,1,9,'CWE-352'
36,cwe_362_Bad_pl,36,1,1,8,'CWE-362'
37,cwe_362_Bad_c,37,1,1,9,'CWE-362'
38,cwe_362_Good_c,38,0,1,8,'CWE-362'
39,cwe_416_Bad_c,39,1,1,9,'CWE-416'
40,cwe_416_Bad_1_c,40,1,1,9,'CWE-416'
41,cwe_434_Good_html,41,0,1,9,'CWE-434'
42,cwe_434_Bad_php,42,1,1,8,'CWE-434'
43,cwe_434_Good_1_html,43,0,1,9,'CWE-434'
44,cwe_434_Bad_java,44,1,1,9,'CWE-434'
45,cwe_476_Bad_c,45,1,1,9,'CWE-476'
46,cwe_476_Bad_java,46,1,1,9,'CWE-476'
47,cwe_476_Bad_1_java,47,1,1,9,'CWE-476'
48,cwe_476_Bad_go,48,1,1,9,'CWE-476'
49,cwe_502_Bad_java,49,1,1,9,'CWE-502'
50,cwe_502_Good_java,50,0,0,10,'CWE-502'
51,cwe_502_Bad_py,51,1,1,9,'CWE-502'
52,cwe_77_Bad_py,52,1,0,9,'CWE-77'
53,cwe_77_Good_py,53,0,1,8,'CWE-77'
54,cwe_77_Bad_pl,54,1,1,9,'CWE-77'
55,cwe_77_Good_pl,55,0,0,9,'CWE-77'
56,cwe_77_Bad_c,56,1,1,10,'CWE-77'
57,cwe_77_Bad_java,57,1,1,9,'CWE-77'
58,cwe_78_Bad_php,58,1,1,9,'CWE-78'
59,cwe_78_Bad_c,59,1,1,9,'CWE-78'
60,cwe_78_Bad_pl,60,1,1,9,'CWE-78'
61,cwe_78_Bad_java,61,1,1,9,'CWE-78'
62,cwe_78_Bad_1_java,62,1,1,9,'CWE-78'
63,cwe_78_Bad_2_java,63,1,1,9,'CWE-78'
64,cwe_78_Bad_1_c,64,1,1,9,'CWE-78'
65,cwe_787_Bad_c,65,1,1,9,'CWE-787'
66,cwe_787_Bad_1_c,66,1,1,9,'CWE-787'
67,cwe_787_Bad_2_c,67,1,1,9,'CWE-787'
68,cwe_787_Bad_3_c,68,1,1,9,'CWE-787'
69,cwe_787_Bad_4_c,69,1,1,9,'CWE-787'
70,cwe_787_Bad_5_c,70,1,1,9,'CWE-787'
71,cwe_787_Bad_6_c,71,1,1,9,'CWE-787'
72,cwe_79_Bad_php,72,1,1,9,'CWE-79'
73,cwe_79_Bad_jsp,73,1,1,9,'CWE-79'
74,cwe_79_Bad_asp,74,1,1,9,'CWE-79'
75,cwe_79_Bad_1_jsp,75,1,1,9,'CWE-79'
76,cwe_79_Bad_1_asp,76,1,1,9,'CWE-79'
77,cwe_79_Bad_1_php,77,1,1,9,'CWE-79'
78,cwe_79_Bad_2_php,78,1,1,9,'CWE-79'
79,cwe_79_Bad_3_php,79,1,1,9,'CWE-79'
80,cwe_798_Bad_java,80,1,1,9,'CWE-798'
81,cwe_798_Bad_c,81,1,1,9,'CWE-798'
82,cwe_798_Bad_1_java,82,1,1,9,'CWE-798'
83,cwe_798_Bad_1_c,83,1,1,9,'CWE-798'
84,cwe_798_Bad_2_java,84,1,1,9,'CWE-798'
85,cwe_798_Bad_cs,85,1,1,9,'CWE-798'
86,cwe_798_Bad_3_java,86,1,1,9,'CWE-798'
87,cwe_798_Bad_asp,87,1,1,9,'CWE-798'
88,cwe_862_Bad_php,88,1,1,9,'CWE-862'
89,cwe_862_Bad_pl,89,1,1,8,'CWE-862'
90,cwe_863_Bad_php,90,1,1,9,'CWE-863'
91,cwe_89_Bad_cs,91,1,1,9,'CWE-89'
92,cwe_89_Attack_sql,92,1,1,9,'CWE-89'
93,cwe_89_Bad_php,93,1,1,9,'CWE-89'
94,cwe_89_Good_php,94,0,1,9,'CWE-89'
95,cwe_89_Bad_pl,95,1,1,9,'CWE-89'
96,cwe_94_Bad_php,96,1,1,9,'CWE-94'
97,cwe_94_Bad_pl,97,1,1,9,'CWE-94'
98,cwe_94_Bad_py,98,1,1,9,'CWE-94'
99,cwe_94_Good_py,99,0,0,8,'CWE-94'
